Fecha,Magnitud,Latitud,Longitud
2010-04-05,3.6,32.84,-116.07
2010-04-05,3.6,32.46,-115.62
2010-04-05,3.6,32.8,-115.48
2010-04-05,3.8,32.8,-115.83
2010-04-05,4.0,31.89,-114.91
2010-04-05,4.2,32.21,-115.22
2010-04-05,3.9,31.89,-115.21
2010-04-05,3.6,31.69,-114.97
2010-04-05,3.7,31.86,-114.93
2010-04-05,3.4,32.15,-115.56
2010-04-05,3.9,32.11,-115.04
2010-04-05,3.7,32.1,-115.1
2010-04-05,4.2,32.11,-114.97
2010-04-05,4.1,31.93,-114.94
2010-04-05,4.4,32.69,-115.81
2010-04-06,4.6,31.96,-114.91
2010-04-06,4.2,32.84,-115.84
2010-04-06,3.8,32.21,-114.85
2010-04-06,3.8,32.4,-115.28
2010-04-06,3.9,32.95,-116.05
2010-04-06,4.1,32.33,-115.24
2010-04-06,4.1,32.14,-115.08
2010-04-06,3.9,31.8,-114.96
2010-04-06,3.7,32.66,-116.1
2010-04-06,3.6,32.27,-115.23
2010-04-06,4.0,32.11,-114.98
2010-04-07,4.4,32.93,-115.97
2010-04-07,3.5,32.91,-115.96
2010-04-07,3.9,32.01,-114.97
2010-04-07,3.4,32.43,-114.99
2010-04-07,3.8,32.34,-115.1
2010-04-07,3.5,32.99,-115.97
2010-04-07,4.2,32.42,-115.25
2010-04-07,4.0,32.27,-115.31
2010-04-07,3.9,32.73,-115.74
2010-04-07,3.7,32.19,-115.12
2010-04-07,4.3,32.34,-115.12
2010-04-07,3.6,32.98,-115.75
2010-04-07,4.1,32.31,-115.17
2010-04-07,4.1,32.27,-115.26
2010-04-07,4.1,32.19,-115.24
2010-04-07,4.0,32.24,-115.19
2010-04-07,3.8,32.26,-115.23
2010-04-07,4.1,32.8,-115.71
2010-04-07,4.0,32.16,-115.02
2010-04-07,3.7,32.16,-115.03
2010-04-08,3.8,32.23,-115.15
2010-04-08,4.0,32.3,-115.06
2010-04-08,3.2,32.36,-115.17
2010-04-08,3.5,32.49,-115.18
2010-04-08,5.4,32.33,-115.23
2010-04-08,3.4,32.73,-115.51
2010-04-08,3.1,32.45,-115.07
2010-04-08,3.8,32.57,-115.2
2010-04-08,3.5,32.3,-115.14
2010-04-08,3.5,32.56,-115.13
2010-04-08,3.6,32.16,-115.08
2010-04-08,3.8,32.31,-115.11
2010-04-08,4.1,32.4,-115.24
2010-04-08,3.9,32.21,-115.08
2010-04-08,3.7,32.2,-114.92
2010-04-08,3.6,32.46,-115.21
2010-04-09,4.0,32.26,-115.24
2010-04-09,4.1,32.06,-114.9
2010-04-09,3.6,32.15,-115.08
2010-04-09,3.7,32.53,-115.2
2010-04-09,3.6,32.68,-115.73
2010-04-09,3.5,32.09,-115.26
2010-04-09,3.5,32.38,-115.04
2010-04-09,3.4,32.59,-115.4
2010-04-09,3.5,32.51,-115.6
2010-04-09,3.3,32.17,-115.14
2010-04-09,3.4,32.08,-115.62
2010-04-09,3.5,32.52,-115.14
2010-04-09,3.2,32.88,-115.87
2010-04-09,3.4,32.16,-114.98
2010-04-09,3.5,32.82,-115.71
2010-04-09,3.7,32.51,-115.37
2010-04-09,4.9,32.25,-115.17
2010-04-09,3.4,32.49,-115.13
2010-04-09,3.8,32.31,-114.94
2010-04-09,3.7,32.88,-115.77
2010-04-09,3.3,32.15,-115.01
2010-04-09,3.8,32.85,-115.72
2010-04-09,3.6,32.84,-115.66
2010-04-10,3.7,32.12,-114.86
2010-04-10,4.2,32.79,-115.7
2010-04-10,3.7,32.79,-115.69
2010-04-10,3.6,31.98,-115.12
2010-04-10,3.6,32.69,-115.76
2010-04-10,3.6,32.04,-114.96
2010-04-10,3.7,32.33,-115.27
2010-04-10,3.6,32.21,-115.19
2010-04-10,3.5,32.92,-115.72
2010-04-10,3.6,32.74,-115.77
2010-04-10,3.5,32.38,-115.09
2010-04-10,3.5,32.88,-115.67
2010-04-10,3.6,32.74,-115.67
2010-04-10,3.4,32.82,-115.68
2010-04-10,3.6,32.16,-115.17
2010-04-10,3.5,32.14,-114.93
2010-04-11,3.5,32.41,-115.29
2010-04-11,3.4,32.37,-115.35
2010-04-11,3.7,32.35,-115.26
2010-04-11,3.4,32.28,-115.33
2010-04-11,3.6,32.13,-115.19
2010-04-11,3.6,32.09,-114.94
2010-04-11,3.6,32.1,-115.06
2010-04-11,3.6,32.33,-115.34
2010-04-11,3.8,32.33,-115.28
2010-04-11,3.4,32.47,-115.16
2010-04-11,3.6,32.1,-114.9
2010-04-11,3.4,32.11,-114.84
2010-04-11,3.5,32.57,-115.46
2010-04-11,3.6,32.9,-115.71
2010-04-11,3.4,32.4,-115.26
2010-04-11,3.8,32.23,-114.92
2010-04-11,3.5,32.51,-115.16
2010-04-11,3.5,32.9,-115.66
2010-04-11,3.6,32.82,-115.39
2010-04-12,3.7,32.84,-115.64
2010-04-12,3.8,32.87,-115.72
2010-04-12,3.7,32.09,-114.83
2010-04-12,3.6,32.97,-115.68
2010-04-12,3.6,32.96,-115.53
2010-04-12,3.4,32.93,-115.72
2010-04-12,3.6,32.23,-115.13
2010-04-12,3.4,32.84,-115.41
2010-04-12,3.3,32.38,-115.29
2010-04-12,3.6,32.91,-115.67
2010-04-12,3.5,32.31,-115.17
2010-04-13,3.5,32.38,-115.27
2010-04-13,3.5,32.28,-115.16
2010-04-13,4.0,31.97,-115.24
2010-04-13,3.4,32.07,-114.8
2010-04-13,3.4,32.21,-115.37
2010-04-13,3.5,32.94,-115.54
2010-04-13,3.4,32.81,-115.71
2010-04-14,3.5,32.81,-115.71
2010-04-14,3.8,32.98,-115.72
2010-04-14,3.6,32.39,-115.3
2010-04-14,3.5,32.21,-115.06
2010-04-14,3.6,32.38,-115.16
2010-04-14,3.5,32.75,-115.71
2010-04-14,3.4,31.76,-115.15
2010-04-14,3.8,32.14,-115.08
2010-04-14,3.5,32.29,-115.17
2010-04-14,3.5,32.24,-115.03
2010-04-15,3.5,32.17,-115.14
2010-04-15,3.7,32.95,-115.79
2010-04-15,3.6,32.91,-115.83
2010-04-15,3.5,32.52,-115.29
2010-04-15,3.8,32.58,-115.47
2010-04-15,3.4,32.09,-114.97
2010-04-15,3.6,32.25,-115.04
2010-04-15,4.3,32.34,-115.83
2010-04-15,3.7,32.06,-115.08
2010-04-15,3.6,32.99,-115.65
2010-04-15,3.6,32.79,-115.59
2010-04-15,3.5,32.81,-115.93
2010-04-15,3.7,32.83,-115.72
2010-04-15,4.0,32.81,-115.65
2010-04-16,3.6,32.36,-115.28
2010-04-16,3.8,32.6,-115.45
2010-04-16,4.4,32.25,-115.09
2010-04-16,4.3,32.22,-114.88
2010-04-16,4.1,32.41,-115.15
2010-04-16,3.8,32.4,-115.13
2010-04-16,3.8,32.43,-115.12
2010-04-16,3.8,32.21,-115.06
2010-04-16,3.9,32.17,-115.08
2010-04-16,3.4,32.41,-115.13
2010-04-16,3.8,32.95,-115.7
2010-04-16,3.5,32.38,-115.2
2010-04-16,3.7,32.49,-115.7
2010-04-16,3.6,32.21,-115.17
2010-04-16,3.5,32.37,-115.1
2010-04-16,3.7,32.49,-115.33
2010-04-17,3.7,32.35,-115.09
2010-04-17,3.9,32.06,-114.96
2010-04-17,3.6,32.37,-115.1
2010-04-17,3.7,32.66,-115.57
2010-04-17,3.6,32.88,-115.61
2010-04-17,3.8,32.75,-115.4
2010-04-17,4.1,32.37,-115.18
2010-04-17,4.1,32.32,-115.26
2010-04-17,3.9,32.66,-115.48
2010-04-17,3.9,32.15,-115.13
2010-04-17,3.9,32.19,-115.16
2010-04-17,4.1,32.32,-115.33
2010-04-17,3.8,32.21,-115.11
2010-04-17,3.8,32.31,-115.31
2010-04-17,3.9,32.25,-114.87
2010-04-18,3.5,32.31,-115.2
2010-04-18,3.4,32.52,-115.27
2010-04-18,3.5,32.43,-115.19
2010-04-18,3.5,32.38,-115.24
2010-04-18,3.6,32.22,-115.1
2010-04-18,3.5,32.35,-115.28
2010-04-18,3.2,32.29,-115.28
2010-04-18,3.7,32.53,-115.47
2010-04-18,3.7,32.18,-115.1
2010-04-18,4.0,32.42,-115.28
2010-04-18,4.0,32.42,-115.2
2010-04-18,3.8,32.38,-115.26
2010-04-18,3.6,32.46,-115.12
2010-04-18,4.0,32.92,-115.82
2010-04-19,3.9,32.2,-115.14
2010-04-19,3.8,32.45,-115.45
2010-04-19,3.3,32.35,-115.12
2010-04-19,3.2,32.62,-115.18
2010-04-19,3.7,32.46,-115.58
2010-04-19,3.4,32.48,-115.11
2010-04-19,3.5,32.44,-115.14
2010-04-19,3.6,32.21,-115.29
2010-04-19,3.4,32.61,-115.63
2010-04-19,3.3,32.24,-115.27
2010-04-19,3.5,32.19,-115.19
2010-04-19,3.4,32.29,-115.19
2010-04-19,3.6,32.32,-115.27
2010-04-19,3.4,32.39,-114.97
2010-04-19,3.5,32.42,-115.19
2010-04-19,3.5,32.29,-115.25
2010-04-19,3.3,32.15,-114.92
2010-04-19,3.6,32.18,-115.09
2010-04-20,3.6,32.28,-115.23
2010-04-20,3.8,32.3,-115.13
2010-04-20,3.6,32.15,-115.07
2010-04-20,3.9,32.36,-115.77
2010-04-20,3.6,32.46,-115.77
2010-04-20,3.7,32.47,-115.58
2010-04-20,3.7,32.9,-115.57
2010-04-20,3.5,32.27,-115.28
2010-04-20,3.4,32.45,-115.39
2010-04-20,3.5,32.31,-115.22
2010-04-20,3.4,32.53,-115.2
2010-04-20,3.5,32.45,-115.25
2010-04-20,3.3,32.42,-115.34
2010-04-20,3.5,32.27,-115.22
2010-04-20,3.6,32.29,-115.26
2010-04-20,3.7,32.31,-115.22
2010-04-21,3.9,32.65,-115.55
2010-04-21,3.9,32.33,-115.28
2010-04-21,3.7,32.46,-115.12
2010-04-21,3.8,32.29,-115.32
2010-04-21,3.6,32.01,-115.26
2010-04-21,3.8,32.8,-115.66
2010-04-21,3.4,32.32,-115.3
2010-04-21,3.8,32.38,-115.36
2010-04-22,3.7,32.48,-115.24
2010-04-22,3.4,32.33,-115.29
2010-04-22,4.3,32.8,-115.72
2010-04-22,4.3,32.87,-115.71
2010-04-22,3.7,32.23,-115.15
2010-04-22,3.8,32.95,-115.76
2010-04-22,3.4,32.58,-115.6
2010-04-22,3.8,32.28,-115.29
2010-04-22,3.6,32.44,-115.42
2010-04-22,3.8,32.24,-115.16
2010-04-23,3.8,32.27,-115.27
2010-04-23,3.5,32.27,-115.2
2010-04-23,3.7,32.22,-115.17
2010-04-23,3.6,32.24,-115.11
2010-04-23,3.5,32.58,-115.12
2010-04-23,3.5,32.51,-115.26
2010-04-23,3.5,32.04,-114.72
2010-04-23,3.6,32.27,-115.16
2010-04-24,3.6,31.87,-114.91
2010-04-24,3.5,32.2,-115.18
2010-04-24,3.4,32.43,-115.52
2010-04-24,3.6,32.16,-114.97
2010-04-24,3.3,32.27,-115.2
2010-04-24,3.6,32.44,-115.46
2010-04-24,3.7,32.09,-114.84
2010-04-24,3.7,32.47,-115.15
2010-04-24,3.9,32.13,-115.07
2010-04-25,3.6,32.29,-115.15
2010-04-25,3.5,32.28,-115.33
2010-04-25,3.4,32.22,-115.17
2010-04-25,3.7,32.31,-115.28
2010-04-25,3.4,31.79,-114.78
2010-04-25,3.6,32.59,-115.5
2010-04-25,3.7,32.12,-114.79
2010-04-25,3.6,32.97,-115.73
2010-04-25,3.4,32.42,-115.17
2010-04-25,3.6,32.08,-114.96
2010-04-25,3.6,32.42,-115.15
2010-04-25,3.9,32.14,-114.92
2010-04-25,3.5,32.31,-115.28
2010-04-25,3.7,32.23,-114.89
2010-04-26,3.6,31.86,-114.92
2010-04-26,3.7,32.27,-115.18
2010-04-26,3.6,32.29,-115.07
2010-04-26,3.4,32.24,-115.19
2010-04-26,3.4,32.31,-115.28
2010-04-26,3.8,32.23,-115.25
2010-04-26,3.6,32.74,-115.33
2010-04-26,3.4,31.91,-114.89
2010-04-26,3.5,32.36,-115.34
2010-04-26,4.0,32.32,-115.29
2010-04-26,3.7,32.32,-115.3
2010-04-26,3.4,32.28,-115.24
2010-04-26,3.5,32.35,-115.18
2010-04-27,3.6,32.22,-115.17
2010-04-27,4.0,32.94,-115.82
2010-04-27,3.6,32.26,-115.22
2010-04-27,3.2,32.4,-115.22
2010-04-27,3.2,32.48,-115.25
2010-04-27,3.5,32.4,-115.34
2010-04-27,3.6,33.0,-115.79
2010-04-27,3.5,32.95,-115.73
2010-04-27,3.5,32.23,-115.14
2010-04-27,3.5,32.83,-116.0
2010-04-27,3.3,32.31,-115.2
2010-04-28,3.8,32.34,-115.33
2010-04-28,3.7,31.54,-114.73
2010-04-28,3.4,32.47,-115.18
2010-04-28,3.3,32.45,-115.11
2010-04-29,3.7,32.83,-115.74
2010-04-29,3.3,32.24,-115.03
2010-04-29,3.6,32.83,-115.73
2010-04-29,3.4,32.7,-115.62
2010-04-29,3.5,32.23,-115.18
2010-04-30,3.6,32.3,-115.12
2010-04-30,3.7,32.36,-115.11
2010-04-30,3.4,32.44,-115.17
2010-04-30,3.2,32.54,-115.2
2010-04-30,3.6,32.61,-115.55
2010-04-30,3.5,32.56,-115.42
2010-04-30,3.3,32.27,-115.19
2010-04-30,4.0,32.3,-115.33
2010-04-30,3.7,32.47,-115.35
2010-05-01,3.3,32.93,-115.84
2010-05-01,3.7,32.92,-115.91
2010-05-01,4.4,32.57,-115.19
