Fecha,Magnitud,Latitud,Longitud
2012-09-04,3.8,30.6713,-114.115
2012-09-05,3.4,31.1563,-115.306
2012-09-07,3.7,31.1162,-115.921
2012-09-18,3.5,31.166,-115.72
2012-09-18,3.0,31.3613,-115.785
2012-10-23,3.3,31.2237,-115.635
2012-11-06,3.5,31.457,-115.661
2012-11-12,3.5,30.407,-114.971
2012-11-23,3.3,31.2227,-115.374
2012-11-25,3.8,31.157,-115.422
2012-11-25,3.4,31.1603,-115.425
2012-11-28,3.8,30.7702,-114.115
2012-12-06,3.6,31.2173,-115.343
2012-12-06,3.4,31.2365,-115.393
2012-12-07,3.6,31.1468,-115.7
2012-12-09,3.3,31.2248,-115.327
2012-12-09,3.7,31.2512,-115.383
2012-12-11,3.7,31.583,-116.027
2012-12-13,3.7,30.5828,-114.484
2012-12-20,3.6,31.2213,-115.519
2012-12-21,3.5,31.1243,-115.389
2012-12-23,3.5,31.2142,-115.603
2013-01-07,3.8,31.4445,-115.791
2013-01-09,3.4,30.795,-115.555
2013-01-17,3.3,31.2002,-115.141
2013-01-21,3.5,31.0147,-115.827
2013-02-04,3.4,31.2283,-115.308
2013-02-08,2.9,31.1255,-115.389
2013-02-11,3.4,31.0503,-115.946
2013-02-19,3.6,31.1152,-115.91
2013-02-25,4.0,31.1123,-115.924
2013-02-28,3.5,31.1878,-115.885
2013-03-31,3.5,31.7385,-116.841
2013-04-04,3.7,31.062,-115.938
2013-05-18,4.1,29.348,-114.811
2013-05-20,3.6,31.4147,-116.345
2013-06-06,4.7,30.033,-114.146
2013-06-07,4.0,29.9513,-114.219
2013-06-07,3.9,30.0962,-114.186
2013-06-07,4.5,30.0163,-114.167
2013-06-08,4.1,30.0155,-114.178
2013-06-11,4.6,30.0227,-114.144
2013-06-16,3.9,30.102,-114.473
2013-06-21,3.8,31.1313,-115.73
2013-07-13,3.6,29.674,-114.102
2013-07-14,3.7,30.8872,-116.657
2013-08-01,3.6,31.3115,-115.501
2013-08-05,4.4,30.1162,-114.267
2013-08-11,3.8,29.9018,-116.424
2013-08-17,3.5,31.3442,-115.658
2013-08-19,3.8,31.473,-116.199
2013-08-22,4.4,29.9265,-113.85
2013-08-25,4.2,29.9255,-113.895
2013-08-25,3.8,29.8802,-113.804
2013-08-25,3.8,29.9352,-113.834
2013-08-25,3.9,29.8617,-113.839
2013-08-27,4.2,29.8688,-113.926
2013-08-27,3.0,31.155,-115.42
2013-08-29,3.7,31.0235,-116.041
2013-08-29,4.0,29.8977,-113.932
2013-09-06,3.5,31.3802,-115.576
2013-09-08,3.6,31.17,-116.805
2013-09-16,3.5,30.8948,-116.228
2013-09-18,3.4,31.259,-115.392
2013-10-04,4.0,29.6263,-113.912
2013-10-09,3.9,29.985,-114.115
2013-10-10,3.3,31.1693,-115.62
2013-10-10,3.0,31.1835,-115.449
2013-10-13,3.1,31.1072,-115.893
2013-10-15,3.7,31.3147,-115.322
2013-10-17,3.5,31.2062,-115.368
2013-10-21,3.9,29.8733,-113.843
2013-10-21,3.3,31.089,-115.346
2013-10-24,3.2,30.9673,-115.643
2013-10-24,3.3,31.1375,-115.647
2013-11-01,3.6,31.1353,-115.399
2013-11-01,3.4,31.2842,-115.32
2013-11-01,3.6,31.2822,-115.423
2013-11-01,3.4,31.2962,-115.384
2013-11-01,3.4,31.2987,-115.371
2013-11-02,3.6,31.1067,-115.72
2013-11-09,3.7,31.0908,-115.931
2013-11-11,3.9,29.9227,-114.707
2013-11-11,3.9,30.0255,-114.678
2013-11-11,4.0,30.1037,-114.595
2013-11-13,3.7,31.0485,-115.769
2013-11-13,3.7,31.0942,-115.758
2013-11-21,3.4,30.1108,-114.642
2013-11-24,3.7,30.2293,-114.738
2013-11-30,3.3,31.1018,-115.366
2013-11-30,3.4,31.2005,-115.491
2013-11-30,3.6,31.064,-115.482
2013-12-04,3.2,31.1925,-115.658
2013-12-19,4.8,31.1367,-115.929
2013-12-19,3.1,31.1223,-115.869
2013-12-20,3.5,31.217,-115.703
